# Rime user dictionary
#@/db_name	zzdyx_mod
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	767
#@/user_id	51f52ce6-8ac7-40dc-9ee8-cd3eec19048d
jmg 	精	c=1 d=1 t=736
jn 	家	c=1 d=1 t=30
jndk 	觉得	c=2 d=1.54607 t=274
jni 	加	c=1 d=1 t=33
jnrk 	加热	c=2 d=1.86936 t=672
jo 	见	c=2 d=1.88692 t=515
jogf 	见过	c=1 d=1 t=549
jtdm 	简单	c=2 d=1.54064 t=760
jtt 	矫	c=1 d=1 t=749
jw 	几	c=1 d=1 t=232
jwi 	句	c=2 d=1.66698 t=405
jx 	级	c=1 d=1 t=686
jxcj 	经常	c=1 d=1 t=225
jysb 	金属	c=3 d=2.37823 t=673
k 	可	c=6 d=3.28547 t=670
ke 	苦	c=2 d=1.08543 t=738
kg 	开	c=1 d=1 t=330
ki 	口	c=1 d=1 t=384
kk 	看	c=8 d=3.79539 t=564
kkhe 	扩	c=1 d=1 t=130
kmxt 	烤箱	c=2 d=1.90937 t=655
knut 	客气	c=1 d=1 t=665
knut 	空气	c=1 d=1 t=666
l 	了	c=14 d=4.23099 t=761
laso 	历史	c=1 d=1 t=263
ldlu 	浏览	c=1 d=1 t=113
ldlu 	浏览器	c=1 d=1 t=129
ldoo 	丽	c=1 d=1 t=41
lehk 	莱	c=1 d=1 t=279
lgjw 	理解	c=1 d=1 t=589
lh 	来	c=2 d=1.90032 t=214
lhi 	露	c=1 d=1 t=10
ll 	论	c=2 d=1.96079 t=700
lo 	里	c=2 d=1.90484 t=439
lojs 	逻辑	c=1 d=1 t=590
loma 	里面	c=1 d=1 t=204
ls 	连	c=2 d=1.94649 t=112
ltc 	乱	c=1 d=1 t=73
m 	没	c=5 d=3.727 t=766
ma 	面	c=2 d=1.17377 t=440
masl 	面试	c=1 d=1 t=412
mcn 	买	c=10 d=7.21215 t=663
mix 	骂	c=4 d=3.69308 t=205
mjj 	们	c=1 d=1 t=447
mt 	每	c=1 d=1 t=430
mttk 	敏	c=1 d=1 t=407
mxd 	马	c=1 d=1 t=74
mxsy 	马上	c=1 d=1 t=49
n 	你	c=4 d=3.24405 t=395
nb 	那	c=2 d=1.41271 t=337
nf 	南	c=1 d=1 t=15
nib 	哪	c=1 d=1 t=418
njk 	拿	c=1 d=1 t=226
nk 	拟	c=1 d=1 t=466
nl 	能	c=6 d=2.54615 t=753
nlij 	难住	c=1 d=1 t=468
o 	我	c=18 d=5.9436 t=706
oamv 	殍	c=1 d=1 t=63
p 	平	c=1 d=1 t=574
pi 	跑	c=2 d=1.9802 t=681
pkdv 	排队	c=1 d=1 t=177
pkr 	拍	c=1 d=1 t=579
plll 	评论	c=1 d=1 t=19
pqo 	盘	c=1 d=1 t=622
pwu 	刨	c=1 d=1 t=314
r 	人	c=7 d=3.57562 t=733
rjhj 	任何	c=1 d=1 t=249
rl 	让	c=1 d=1 t=237
rr 	日	c=1 d=1 t=431
rrbf 	日本	c=1 d=1 t=260
rrbg 	日本国	c=1 d=1 t=275
rs 	如	c=3 d=1.5052 t=382
rsgo 	如果	c=1 d=1 t=694
rsjj 	软件	c=1 d=1 t=134
s 	是	c=16 d=5.7932 t=725
sa 	死	c=1 d=1 t=50
sd 	水	c=2 d=1.24414 t=645
sdiu 	深圳	c=2 d=1.81058 t=567
sed 	莎	c=1 d=1 t=42
sfhq 	事后	c=1 d=1 t=220
sfi 	事	c=3 d=1.29959 t=742
sfm 	甚	c=1 d=1 t=71
sfun 	事情	c=1 d=1 t=759
sh 	商	c=1 d=1 t=534
shcu 	市场	c=1 d=1 t=378
sirw 	虽然	c=3 d=2.8029 t=538
sjyw 	使用	c=1 d=1 t=5
skct 	擅长	c=1 d=1 t=474
sl 	说	c=7 d=3.45147 t=708
slpk 	双拼	c=1 d=1 t=282
sok 	史	c=1 d=1 t=691
sq 	所	c=1 d=1 t=67
sqyl 	所以	c=5 d=2.29898 t=750
srcc 	身材	c=1 d=1 t=7
srhj 	时候	c=7 d=5.81431 t=224
sti 	升	c=1 d=1 t=687
stk 	失	c=1 d=1 t=684
su 	声	c=1 d=1 t=29
suxx 	声线	c=2 d=1.99501 t=36
suxx 	竖线	c=2 d=1.97045 t=34
sy 	上	c=2 d=1.1108 t=505
t 	他	c=4 d=1.1544 t=762
t 	他们	c=2 d=1.93707 t=764
ta 	太	c=1 d=1 t=320
tgst 	天生	c=1 d=1 t=734
tiwn 	听完	c=1 d=1 t=755
tklc 	探	c=1 d=1 t=409
tlpy 	调频	c=6 d=5.52399 t=27
tn 	头	c=1 d=1 t=580
ts 	她	c=8 d=6.53061 t=252
ttgj 	特供	c=1 d=1 t=26
u 	有	c=10 d=4.00358 t=767
ubm 	群	c=1 d=1 t=438
ufsn 	其实	c=1 d=1 t=485
ufv 	期	c=1 d=1 t=100
ug 	球	c=1 d=1 t=377
ugk 	挈	c=1 d=1 t=376
uhya 	亲友	c=1 d=1 t=213
uj 	全	c=4 d=2.16471 t=600
ujbh 	全部	c=2 d=1.02901 t=726
um 	前	c=1 d=1 t=89
un 	情	c=1 d=1 t=747
utm 	秋	c=1 d=1 t=411
uub 	起	c=4 d=3.45773 t=566
v 	这	c=6 d=2.21412 t=661
vd 	“	c=7 d=4.0277 t=731
vg 	《	c=2 d=1.04221 t=727
vh 	》	c=1 d=1 t=95
